"",".","n"
"4459","out-of-pocket",2
"4460","outcomesversion",2
"4461","outperformed",2
"4462","outreach",2
"4463","ovariancancer",2
"4464","ovcar3",2
"4465","overexpress",2
"4466","overexpressed",2
"4467","owing",2
"4468","oxaliplatin",2
"4469","oxidativestress",2
"4470","oxide",2
"4471","oxygenspecies",2
"4472","p-gp",2
"4473","p<",2
"4474","p<0",2
"4475","p=",2
"4476","p16",2
"4477","p53",2
"4478","palliativecare",2
"4479","pancreaticcancer",2
"4480","paradigm",2
"4481","paraffin-embedded",2
"4482","parallel",2
"4483","parameter",2
"4484","parental",2
"4485","parenting",2
"4486","parents'",2
"4487","partner",2
"4488","partners",2
"4489","pathwayinhibition",2
"4490","patient-",2
"4491","patient-centered",2
"4492","patientcharacteristics",2
"4493","patients)",2
"4494","patientscan",2
"4495","patientselection",2
"4496","patientsin",2
"4497","patientsreceiving",2
"4498","patientstreated",2
"4499","patientswere",2
"4500","patientswho",2
"4501","payment",2
"4502","pc-3",2
"4503","pcr",2
"4504","pda",2
"4505","pds",2
"4506","pdt",2
"4507","pediatricians",2
"4508","pemetrexed",2
"4509","penetration",2
"4510","peptides",2
"4511","percentile",2
"4512","performancestatus",2
"4513","performedat",2
"4514","performedusing",2
"4515","periodontitis",2
"4516","perioperative",2
"4517","permeability",2
"4518","persist",2
"4519","persisted",2
"4520","persistence",2
"4521","persistent",2
"4522","persists",2
"4523","person-years",2
"4524","pertaining",2
"4525","pet)",2
"4526","ph",2
"4527","pharmacodynamic",2
"4528","pharmacological",2
"4529","pharmacology",2
"4530","pharyngeal",2
"4531","phenotypes",2
"4532","phenotypic",2
"4533","phosphorylated",2
"4534","photobiological",2
"4535","photodynamic",2
"4536","photophysical",2
"4537","physiological",2
"4538","physiologically",2
"4539","pi3k",2
"4540","pinteraction",2
"4541","plant",2
"4542","plasmon",2
"4543","platelet",2
"4544","platinum-refractory",2
"4545","playing",2
"4546","pluripotent",2
"4547","pneumoperitoneum",2
"4548","pocket",2
"4549","poissonregression",2
"4550","polarization",2
"4551","political",2
"4552","polymerase",2
"4553","polyps",2
"4554","polyubiquitin",2
"4555","position",2
"4556","positioning",2
"4557","possibilities",2
"4558","possibly",2
"4559","post-diagnosis",2
"4560","post-rt",2
"4561","postintervention",2
"4562","postpartum",2
"4563","posttranslational",2
"4564","potencies",2
"4565","potency",2
"4566","practical",2
"4567","practice-level",2
"4568","pre-clinical",2
"4569","pre-treatment",2
"4570","predominantly",2
"4571","preference",2
"4572","preferentially",2
"4573","preferred",2
"4574","premalignant",2
"4575","prepare",2
"4576","preponderance",2
"4577","presents",2
"4578","presumed",2
"4579","pretreated",2
"4580","primaryendpoint",2
"4581","priori",2
"4582","prioritization",2
"4583","prioritized",2
"4584","priority",2
"4585","priorto",2
"4586","pro-inflammatory",2
"4587","probabilities",2
"4588","progenitor",2
"4589","progression-freesurvival",2
"4590","progressive",2
"4591","proinflammatory",2
"4592","projected",2
"4593","projections",2
"4594","projects",2
"4595","proliferating",2
"4596","promise",2
"4597","promoted",2
"4598","pronounced",2
"4599","propensity",2
"4600","properly",2
"4601","property",2
"4602","proportions",2
"4603","prospectivecohorts",2
"4604","prostatectomy",2
"4605","proteasome",2
"4606","protected",2
"4607","proximal",2
"4608","psychinfo",2
"4609","psycinfo",2
"4610","publication",2
"4611","publicly",2
"4612","publiclyavailable",2
"4613","pursued",2
"4614","quality-adjusted",2
"4615","qualityimprovement",2
"4616","quantification",2
"4617","quantifying",2
"4618","quartile",2
"4619","question",2
"4620","questionnaire",2
"4621","quit",2
"4622","r",2
"4623","races",2
"4624","racially",2
"4625","rad51",2
"4626","radiationtherapy",2
"4627","radioactive",2
"4628","raised",2
"4629","randomization",2
"4630","randomly",2
"4631","randomlyassigned",2
"4632","ras",2
"4633","rash",2
"4634","raters",2
"4635","rather",2
"4636","rational",2
"4637","rats",2
"4638","rbc",2
"4639","rbcs",2
"4640","rc",2
"4641","rct",2
"4642","reactivation",2
"4643","readers",2
"4644","realistic",2
"4645","receivingchemotherapy",2
"4646","recipients",2
"4647","recombinant",2
"4648","recommendation",2
"4649","reconstruction",2
"4650","rectum",2
"4651","redundant",2
"4652","referral",2
"4653","reflects",2
"4654","reflux",2
"4655","refractory",2
"4656","regionalization",2
"4657","regularized",2
"4658","regulate",2
"4659","regulator",2
"4660","reimbursed",2
"4661","relatedto",2
"4662","relationshipbetween",2
"4663","rely",2
"4664","remainscontroversial",2
"4665","reminder",2
"4666","remodeling",2
"4667","repetition",2
"4668","represented",2
"4669","reproductive",2
"4670","resectable",2
"4671","resected",2
"4672","resections",2
"4673","reserved",2
"4674","residing",2
"4675","residual",2
"4676","responders",2
"4677","responsewas",2
"4678","restores",2
"4679","results(seer)-medicare",2
"4680","resultsdatabase",2
"4681","retaining",2
"4682","retinoblastoma",2
"4683","retirement",2
"4684","retroviruses",2
"4685","return",2
"4686","reversal",2
"4687","reverse",2
"4688","reverses",2
"4689","reversible",2
"4690","revert",2
"4691","ribosome",2
"4692","right",2
"4693","rights",2
"4694","rmsea",2
"4695","rna-based",2
"4696","rna-seq",2
"4697","robotic",2
"4698","rolling",2
"4699","rounds",2
"4700","ru(ii)",2
"4701","safely",2
"4702","salt",2
"4703","sampled",2
"4704","samplesfrom",2
"4705","sarcoma-associated",2
"4706","saved",2
"4707","sbrt",2
"4708","scales",2
"4709","scan",2
"4710","schedule",2
"4711","scholar",2
"4712","scientific",2
"4713","scoping",2
"4714","screen",2
"4715","sdm",2
"4716","searches",2
"4717","secreted",2
"4718","seeks",2
"4719","seems",2
"4720","seer",2
"4721","selectivity",2
"4722","self-directed",2
"4723","self-management",2
"4724","self-renewal",2
"4725","seminoma",2
"4726","semiparametric",2
"4727","sense",2
"4728","sensory",2
"4729","sent",2
"4730","separated",2
"4731","september",2
"4732","sequenced",2
"4733","sera",2
"4734","serious",2
"4735","sero-positivity",2
"4736","serous",2
"4737","served",2
"4738","seventy-six",2
"4739","shares",2
"4740","shed",2
"4741","shopping",2
"4742","short-term",2
"4743","signal",2
"4744","signalingand",2
"4745","significantlyassociated",2
"4746","significantlyincreased",2
"4747","silica",2
"4748","silico",2
"4749","simply",2
"4750","site-specific",2
"4751","sixth",2
"4752","skeletal",2
"4753","skill",2
"4754","skills",2
"4755","slides",2
"4756","snps",2
"4757","socialstrain",2
"4758","sociodemographic",2
"4759","solutions",2
"4760","southafrica",2
"4761","southcarolina",2
"4762","spanned",2
"4763","sparing",2
"4764","spatially",2
"4765","specialist",2
"4766","specifications",2
"4767","spectroscopy",2
"4768","spectrum",2
"4769","spent",2
"4770","spleen",2
"4771","splice",2
"4772","splicing",2
"4773","ssa",2
"4774","stabilized",2
"4775","stained",2
"4776","stakeholder-identified",2
"4777","statements",2
"4778","statisticallysignificantly",2
"4779","steady",2
"4780","steps",2
"4781","stereotactic",2
"4782","steroid",2
"4783","stigma",2
"4784","stimulation",2
"4785","stimuli",2
"4786","stool",2
"4787","storage",2
"4788","stratifying",2
"4789","strengthen",2
"4790","striking",2
"4791","strikingly",2
"4792","stringent",2
"4793","structured",2
"4794","studiesshould",2
"4795","sub-lethal",2
"4796","subject",2
"4797","subjected",2
"4798","subjective",2
"4799","subline",2
"4800","suboptimal",2
"4801","substance",2
"4802","substances",2
"4803","subtyping",2
"4804","suffer",2
"4805","suggestingthat",2
"4806","suggestions",2
"4807","suggestive",2
"4808","suicide",2
"4809","sum",2
"4810","summarise",2
"4811","summarizes",2
"4812","summing",2
"4813","supplement",2
"4814","supplemental",2
"4815","supplementary",2
"4816","supplementation",2
"4817","supplemented",2
"4818","supportivemedications",2
"4819","suppresses",2
"4820","suppressionof",2
"4821","suppressors",2
"4822","surgeon",2
"4823","surrogate",2
"4824","surveillance-detected",2
"4825","survey)",2
"4826","suspected",2
"4827","systematically",2
"4828","systolic",2
"4829","t1",2
"4830","takentogether",2
"4831","talimogene",2
"4832","tam",2
"4833","tandem",2
"4834","targetable",2
"4835","targetgene",2
"4836","tcells",2
"4837","tcga",2
"4838","telephone",2
"4839","telomere",2
"4840","temperature",2
"4841","test)",2
"4842","tgct",2
"4843","thathave",2
"4844","theabsence",2
"4845","thebenefit",2
"4846","thecancer",2
"4847","theefficacy",2
"4848","thefirst",2
"4849","theimmune",2
"4850","theimpact",2
"4851","thekaplan-meier",2
"4852","theliterature",2
"4853","themanagement",2
"4854","themost",2
"4855","thenational",2
"4856","thenorth",2
"4857","theoretical",2
"4858","thepatient-reported",2
"4859","thepotential",2
"4860","thepredicted",2
"4861","theproportion",2
"4862","therapeuticefficacy",2
"4863","therapeutictarget",2
"4864","therapeutictargets",2
"4865","therate",2
"4866","thereconstruction",2
"4867","theresults",2
"4868","therisks",2
"4869","thermal",2
"4870","thesetumors",2
"4871","thetreatment",2
"4872","theuse",2
"4873","thisarticle",2
"4874","thorough",2
"4875","thoughts",2
"4876","three-year",2
"4877","timeof",2
"4878","timing",2
"4879","tl",2
"4880","to3",2
"4881","tocalculate",2
"4882","todetermine",2
"4883","toimmune",2
"4884","toincrease",2
"4885","toinduce",2
"4886","toll-like",2
"4887","tomore",2
"4888","tongue",2
"4889","top",2
"4890","topic",2
"4891","topics",2
"4892","toquantify",2
"4893","toquit",2
"4894","town",2
"4895","tract",2
"4896","traffic",2
"4897","trafficking",2
"4898","trail",2
"4899","transcribed",2
"4900","transcriptional",2
"4901","transcriptionfactors",2
"4902","transcriptome",2
"4903","transcriptomic",2
"4904","transcripts",2
"4905","transfer",2
"4906","transform",2
"4907","transgenic",2
"4908","transient",2
"4909","translated",2
"4910","translationally",2
"4911","transmission",2
"4912","transplant",2
"4913","trastuzumab",2
"4914","treatedwith",2
"4915","treatment-naive",2
"4916","treatmentfor",2
"4917","treatmentis",2
"4918","treatmentoptions",2
"4919","trigger",2
"4920","tryptophan",2
"4921","tubal",2
"4922","tumor-associated",2
"4923","tumor-derived",2
"4924","tumor-specific",2
"4925","tumorigenesis",2
"4926","tumorprogression",2
"4927","tumors)",2
"4928","tumorsuppressor",2
"4929","tumour",2
"4930","tuning",2
"4931","turn",2
"4932","twenty-nine",2
"4933","two-sided",2
"4934","u87mg",2
"4935","ubiquitination",2
"4936","uc",2
"4937","unadjusted",2
"4938","undefined",2
"4939","undergone",2
"4940","underlie",2
"4941","understandingof",2
"4942","understudied",2
"4943","underuse",2
"4944","underway",2
"4945","unintentional",2
"4946","unit",2
"4947","unitedstates",2
"4948","univariableanalyses",2
"4949","universal",2
"4950","unlike",2
"4951","until",2
"4952","urgent",2
"4953","urological",2
"4954","urothelial",2
"4955","us-based",2
"4956","usage",2
"4957","usedto",2
"4958","usein",2
"4959","vaccinated",2
"4960","valid",2
"4961","valuable",2
"4962","variantpathogenicity",2
"4963","varies",2
"4964","vascular",2
"4965","vegetable",2
"4966","vegetables",2
"4967","vein",2
"4968","verify",2
"4969","virtually",2
"4970","virtue",2
"4971","visual",2
"4972","vs5",2
"4973","vulnerable",2
"4974","walking",2
"4975","wall",2
"4976","warrant",2
"4977","wasconducted",2
"4978","wasperformed",2
"4979","wasunrelated",2
"4980","weaimed",2
"4981","weaker",2
"4982","weanalyzed",2
"4983","weighting",2
"4984","weightloss",2
"4985","weincluded",2
"4986","well-being",2
"4987","wepropose",2
"4988","wereassessed",2
"4989","werecollected",2
"4990","wereconducted",2
"4991","wereevaluated",2
"4992","werefollowed",2
"4993","wereincluded",2
"4994","wereobserved",2
"4995","wereperformed",2
"4996","wereport",2
"4997","weresignificantly",2
"4998","wereview",2
"4999","wesought",2
"5000","whi",2
"5001","whole-genome",2
"5002","whoreceived",2
"5003","witha",2
"5004","withadvanced",2
"5005","withcolorectal",2
"5006","withcrc",2
"5007","withdetection",2
"5008","withextensive",2
"5009","withhigh",2
"5010","withincreased",2
"5011","withlimited",2
"5012","withlower",2
"5013","withmetastatic",2
"5014","withmore",2
"5015","withpancreatic",2
"5016","withreduced",2
"5017","withrisk",2
"5018","women'shealth",2
"5019","women)",2
"5020","womendiagnosed",2
"5021","womenworldwide",2
"5022","workforce",2
"5023","workshop",2
"5024","worst",2
"5025","worthy",2
"5026","wouldrecommend",2
"5027","written",2
"5028","y",2
"5029","you",2
"5030","zambia",2
"5031","zebra",2
"5032","β",2
"5033","µm",2
"5034","-15percentage",1
"5035","-19",1
"5036","-23",1
"5037","-3",1
"5038","-31%",1
"5039","-32",1
"5040","-37",1
"5041","-4",1
"5042","-44%",1
"5043","-5%",1
"5044","-52%",1
"5045","-54%",1
"5046","-6",1
"5047","-8",1
"5048","-80%",1
"5049","-9·6%",1
"5050","-accumulated",1
"5051","-dvh",1
"5052","-untreated",1
"5053","'4d",1
"5054","'4d'",1
"5055","'do",1
"5056","'report",1
"5057","'was",1
"5058","'worthwhile'",1
"5059","'wouldrecommend",1
"5060","(-)-gossypol",1
"5061","(-24%",1
"5062","(-637",1
"5063","(-9",1
"5064","([adjusted",1
"5065","(∆",1
"5066","(+)-jq1",1
"5067","(±14",1
"5068","(<20",1
"5069","(<45",1
"5070","(<7",1
"5071","(>",1
"5072","(>10mm)",1
"5073","(>20",1
"5074","(>30%",1
"5075","(>40",1
"5076","(>6",1
"5077","(~",1
"5078","(∼eightfold)",1
"5079","(≤",1
"5080","(≥1",1
"5081","(≥10%)",1
"5082","(≥2baseline",1
"5083","(≥3",1
"5084","(≥50%reduction",1
"5085","(≥65)versus",1
"5086","($10",1
"5087","($143",1
"5088","($18",1
"5089","($23",1
"5090","($37",1
"5091","($41",1
"5092","($54",1
"5093","($7",1
"5094","(0%)",1
"5095","(1-4",1
"5096","(1-5",1
"5097","(1-year)",1
"5098","(1)characterize",1
"5099","(1/4)",1
"5100","(1%)",1
"5101","(1049",1
"5102","(11",1
"5103","(11/80)",1
"5104","(11/86)",1
"5105","(11%",1
"5106","(11%)",1
"5107","(110/482)",1
"5108","(113",1
"5109","(1173",1
"5110","(12%",1
"5111","(120",1
"5112","(12z)",1
"5113","(13)",1
"5114","(13/71)",1
"5115","(132",1
"5116","(134",1
"5117","(135",1
"5118","(136",1
"5119","(137",1
"5120","(1397",1
"5121","(14)",1
"5122","(14[33%])",1
"5123","(145",1
"5124","(15-39years",1
"5125","(150",1
"5126","(16%",1
"5127","(1692versus",1
"5128","(18/226)",1
"5129","(18/52)",1
"5130","(18f-fdg",1
"5131","(19%",1
"5132","(1923-1932",1
"5133","(199",1
"5134","(1993⁻1998)",1
"5135","(1996-1998)",1
"5136","(2)creation",1
"5137","(2/1)",1
"5138","(2/4)",1
"5139","(20%)breast",1
"5140","(2001-2005",1
"5141","(2007-2012)",1
"5142","(21/71)of",1
"5143","(21%)",1
"5144","(211",1
"5145","(21d",1
"5146","(22",1
"5147","(22%)",1
"5148","(23",1
"5149","(23%)",1
"5150","(24%",1
"5151","(24%vs",1
"5152","(243)",1
"5153","(25(oh)d",1
"5154","(26%",1
"5155","(264",1
"5156","(27%)",1
"5157","(2730",1
"5158","(29%)",1
"5159","(3)original",1
"5160","(3/4)",1
"5161","(30/31)",1
"5162","(32%)",1
"5163","(33%)",1
"5164","(333%)",1
"5165","(34/71)",1
"5166","(34%)patients",1
"5167","(35",1
"5168","(35%)",1
"5169","(36",1
"5170","(36%",1
"5171","(37%",1
"5172","(37%)",1
"5173","(38",1
"5174","(38%",1
"5175","(387",1
"5176","(3of",1
"5177","(3p)",1
"5178","(3p30ca016086)",1
"5179","(4/4)",1
"5180","(4%",1
"5181","(40%",1
"5182","(40%)",1
"5183","(409",1
"5184","(41%",1
"5185","(41%)",1
"5186","(42%)",1
"5187","(43",1
"5188","(44%)",1
"5189","(4415",1
"5190","(45",1
"5191","(45%",1
"5192","(46",1
"5193","(47%)",1
"5194","(49",1
"5195","(49%",1
"5196","(49%)",1
"5197","(5-20",1
"5198","(5-fluorouracil",1
"5199","(5%)",1
"5200","(51%",1
"5201","(52%",1
"5202","(52%)",1
"5203","(53",1
"5204","(53%)",1
"5205","(53%)and",1
"5206","(55/132)",1
"5207","(55%)",1
"5208","(57%)",1
"5209","(58%",1
"5210","(58%)",1
"5211","(59",1
"5212","(5aris)",1
"5213","(5t32gm007092-42)",1
"5214","(60%)",1
"5215","(61/73)-41",1
"5216","(61%",1
"5217","(61%)had",1
"5218","(619/1",1
"5219","(62",1
"5220","(62%)",1
"5221","(625",1
"5222","(63",1
"5223","(63%)",1
"5224","(64%",1
"5225","(65",1
"5226","(65%)",1
"5227","(66",1
"5228","(68/482)",1
"5229","(6a-h",1
"5230","(700%)",1
"5231","(717",1
"5232","(72%)",1
"5233","(720",1
"5234","(73",1
"5235","(73%)",1
"5236","(74-78%)",1
"5237","(77",1
"5238","(77%",1
"5239","(79%)",1
"5240","(8)",1
"5241","(80%)",1
"5242","(81",1
"5243","(81%",1
"5244","(813",1
"5245","(817%",1
"5246","(82",1
"5247","(82%",1
"5248","(825€",1
"5249","(83%)",1
"5250","(84%",1
"5251","(84%)",1
"5252","(85%)",1
"5253","(86%",1
"5254","(87",1
"5255","(88%)",1
"5256","(9)",1
"5257","(91",1
"5258","(91%)",1
"5259","(92",1
"5260","(93",1
"5261","(93/481)",1
"5262","(93%)",1
"5263","(94%",1
"5264","(95",1
"5265","(95%ci)",1
"5266","(95%ci=0",1
"5267","(95%confidence",1
"5268","(96%",1
"5269","(98",1
"5270","(99%)",1
"5271","(abc",1
"5272","(abc-do)",1
"5273","(abs)",1
"5274","(accuray",1
"5275","(acei)",1
"5276","(acmg)",1
"5277","(acosog",1
"5278","(acosog)",1
"5279","(adc)-that",1
"5280","(adcs)",1
"5281","(addictionbarriers",1
"5282","(adjusteddifference-in-differences",1
"5283","(adjustedhr",1
"5284","(adt",1
"5285","(adt)",1
"5286","(aeoc)",1
"5287","(agree-rex)",1
"5288","(ahr",1
"5289","(ahr[adjusted",1
"5290","(aic)",1
"5291","(aim)",1
"5292","(aip)",1
"5293","(alc)",1
"5294","(alliance)preoperative",1
"5295","(alnd)",1
"5296","(also",1
"5297","(amber)consortium",1
"5298","(american",1
"5299","(amh)",1
"5300","(amp)",1
"5301","(ampk)",1
"5302","(anc)",1
"5303","(and",1
"5304","(antimony",1
"5305","(aoc)",1
"5306","(aox40)",1
"5307","(apc/c)",1
"5308","(apd1)",1
"5309","(apt-cpg-dspe)",1
"5310","(ar-fl)",1
"5311","(ar-v7)",1
"5312","(ar)",1
"5313","(ar)-dependent",1
"5314","(archived",1
"5315","(ard",1
"5316","(ares)",1
"5317","(arm",1
"5318","(arms",1
"5319","(as)",1
"5320","(ascn)",1
"5321","(asco-cap)",1
"5322","(asco)",1
"5323","(asct)",1
"5324","(ascus+)",1
"5325","(aspc-1",1
"5326","(assessment",1
"5327","(ast",1
"5328","(at",1
"5329","(atcvs)",1
"5330","(auc",1
"5331","(auc6)",1
"5332","(aurk)signaling",1
"5333","(aus)",1
"5334","(available",1
"5335","(average",1
"5336","(aya",1
"5337","(aya)women",1
"5338","(ayas)",1
"5339","(b",1
"5340","(b)",1
"5341","(b)degranulate",1
"5342","(baiap2)",1
"5343","(basal-like)",1
"5344","(bc)awareness",1
"5345","(bca)",1
"5346","(bcan)",1
"5347","(bcbm)",1
"5348","(bcc)",1
"5349","(bccoe)",1
"5350","(bcg)",1
"5351","(bcrp",1
"5352","(bcrp/bcrp)",1
"5353","(bcs)",1
"5354","(bcsc)",1
"5355","(bds)",1
"5356","(ben/lben)",1
"5357","(best)",1
"5358","(beta",1
"5359","(bfhi)",1
"5360","(bhsil)",1
"5361","(biochemicalrecurrence",1
"5362","(bircwh)",1
"5363","(bl)",1
"5364","(blacks)",1
"5365","(bladder",1
"5366","(blfc)",1
"5367","(bli)",1
"5368","(bme)",1
"5369","(bmi",1
"5370","(bmi)",1
"5371","(bmi≥35",1
"5372","(bomc)",1
"5373","(bph)",1
"5374","(breast)",1
"5375","(bronx",1
"5376","(bsabs)",1
"5377","(bt474",1
"5378","(btb)",1
"5379","(by",1
"5380","(c-sc-dx",1
"5381","(c)d50",1
"5382","(c)specifically",1
"5383","(c225)",1
"5384","(calgb",1
"5385","(calgb)",1
"5386","(cancer",1
"5387","(capiocyte)",1
"5388","(car)t-cell",1
"5389","(cart)",1
"5390","(cas)",1
"5391","(cbcs",1
"5392","(cbcs)(2008-2013)",1
"5393","(cbos)after",1
"5394","(cbr)",1
"5395","(cbtc)",1
"5396","(cc)",1
"5397","(ccbs)",1
"5398","(ccby-nc-nd)",1
"5399","(ccl)20",1
"5400","(ccppz)",1
"5401","(cd)",1
"5402","(cd105)",1
"5403","(cd30",1
"5404","(cd71+ter119+",1
"5405","(cd95)expression",1
"5406","(cdc)",1
"5407","(cdk-in-2)",1
"5408","(cdwgs)",1
"5409","(cea",1
"5410","(cel)",1
"5411","(cellsearch)",1
"5412","(cervical",1
"5413","(cet)",1
"5414","(cf)",1
"5415","(cfa)",1
"5416","(cfdna)",1
"5417","(cfi",1
"5418","(cgg)4",1
"5419","(ch-pd)",1
"5420","(charleston",1
"5421","(ci",1
"5422","(cin1)",1
"5423","(cin2)",1
"5424","(cin2+)",1
"5425","(cinv)",1
"5426","(cle)",1
"5427","(clinical",1
"5428","(clinically",1
"5429","(clinicianinterventions",1
"5430","(clinicians",1
"5431","(cll)",1
"5432","(cmv)",1
"5433","(cna)",1
"5434","(cns)",1
"5435","(community-based)",1
"5436","(compared",1
"5437","(con)",1
"5438","(conf)",1
"5439","(control",1
"5440","(controls",1
"5441","(cox-2)pathway",1
"5442","(cpa/cpc/cpt)",1
"5443","(cra)",1
"5444","(crf)",1
"5445","(crp",1
"5446","(crp)and",1
"5447","(crpc)",1
"5448","(crs)",1
"5449","(cser)",1
"5450","(csf)",1
"5451","(ctc)capture",1
"5452","(ctcaev4",1
"5453","(ctcs)",1
"5454","(ctdna)",1
"5455","(cvd)",1
"5456","(cyo8)",1
"5457","(cyp17a1)",1
"5458","(daa)",1
"5459","(dag)",1
"5460","(dars)",1
"5461","(dash)",1
"5462","(dat)",1
"5463","(db)",1
"5464","(dbt)",1
"5465","(dcc)",1
"5466","(dcis)",1
"5467","(dcr)",1
"5468","(ddgc)",1
"5469","(ddi)",1
"5470","(ddr)",1
"5471","(ddr)pathways",1
"5472","(ddss)",1
"5473","(delitschia",1
"5474","(delphi)",1
"5475","(dfs)",1
"5476","(diabetes",1
"5477","(diagnosis)",1
"5478","(dichotomized",1
"5479","(dif)",1
"5480","(difference",1
"5481","(dip)",1
"5482","(dir)",1
"5483","(discomfort",1
"5484","(dl",1
"5485","(dlt)",1
"5486","(dlts)",1
"5487","(dnmt3a",1
"5488","(dnps)",1
"5489","(doubly",1
"5490","(dox-kgfrwr)",1
"5491","(dox)-resistant",1
"5492","(dox)for",1
"5493","(drd2)",1
"5494","(dropletprobe)",1
"5495","(drps)",1
"5496","(drugactivation",1
"5497","(ds)use",1
"5498","(dsb)",1
"5499","(dsw)",1
"5500","(dubs)",1
"5501","(dx)",1
"5502","(e)",1
"5503","(e14",1
"5504","(each",1
"5505","(ebas)",1
"5506","(ec)",1
"5507","(ed)",1
"5508","(egc)",1
"5509","(emt)",1
"5510","(encode)",1
"5511","(enl)",1
"5512","(epi)",1
"5513","(epic",1
"5514","(er-positive",1
"5515","(er)-positive",1
"5516","(er+)cells",1
"5517","(ercc2)",1
"5518","(ervs)",1
"5519","(escc)",1
"5520","(esr1)",1
"5521","(et)",1
"5522","(european",1
"5523","(ev)",1
"5524","(excid)",1
"5525","(exome",1
"5526","(fact-g",1
"5527","(fact-p)",1
"5528","(fc)",1
"5529","(fdr)",1
"5530","(ffdm)",1
"5531","(fish)",1
"5532","(fit)",1
"5533","(fna)diagnoses",1
"5534","(folfiri)",1
"5535","(folinic",1
"5536","(forimmigrants)",1
"5537","(forprofessionals)",1
"5538","(fp)",1
"5539","(fqhcs)",1
"5540","(functional",1
"5541","(g-csf)",1
"5542","(gc)",1
"5543","(gemms)",1
"5544","(gfp)",1
"5545","(gg",1
"5546","(gg)",1
"5547","(gi)",1
"5548","(glands)",1
"5549","(glca",1
"5550","(gm-csf)",1
"5551","(gn)",1
"5552","(grade",1
"5553","(grade)",1
"5554","(graft-versus-leukemia",1
"5555","(gsh)",1
"5556","(gsvs)",1
"5557","(guss)",1
"5558","(gvhd)",1
"5559","(h3k36m)",1
"5560","(h3k36me)",1
"5561","(h3k36me3)",1
"5562","(h3k36me3)methylation",1
"5563","(half",1
"5564","(hazardratio",1
"5565","(hbv)and",1
"5566","(hcap-nc)",1
"5567","(hchs/sol)sociocultural",1
"5568","(hcm)",1
"5569","(he)",1
"5570","(heart",1
"5571","(her2)",1
"5572","(her2+)",1
"5573","(her2e",1
"5574","(hervs)",1
"5575","(hfs)",1
"5576","(hgd)",1
"5577","(hgg)",1
"5578","(hics)",1
"5579","(high-grade",1
"5580","(highest",1
"5581","(hiv)",1
"5582","(hls)and",1
"5583","(hma)",1
"5584","(hnscc)",1
"5585","(horizon",1
"5586","(hospital",1
"5587","(hp)-129xemagnetic",1
"5588","(hpv)-associatedoropharyngeal",1
"5589","(hpv)acquisition",1
"5590","(hpv)vaccines",1
"5591","(hr)-mediated",1
"5592","(hr)-positive",1
"5593","(hr)=",1
"5594","(hr+)",1
"5595","(hr=1",1
"5596","(hr>=7vs<1=0",1
"5597","(hr0",1
"5598","(hr2",1
"5599","(hr21",1
"5600","(hras",1
"5601","(hrms)",1
"5602","(hs)",1
"5603","(hs2st)",1
"5604","(hscrp)",1
"5605","(hsil)",1
"5606","(hsil+)",1
"5607","(hsv-1)",1
"5608","(ht)medications",1
"5609","(https",1
"5610","(i2",1
"5611","(iadls)",1
"5612","(ib)",1
"5613","(ibd)",1
"5614","(ibr)",1
"5615","(ic)",1
"5616","(ica)",1
"5617","(icb)",1
"5618","(iccs)",1
"5619","(idy)",1
"5620","(iec",1
"5621","(ihc",1
"5622","(iii)",1
"5623","(ikk)",1
"5624","(il-6)-secreting",1
"5625","(il)-10",1
"5626","(ilc)",1
"5627","(imlygic®)",1
"5628","(immune",1
"5629","(included",1
"5630","(increased",1
"5631","(induciblet-cell",1
"5632","(intensity",1
"5633","(intermediate-riskpatients)",1
"5634","(international",1
"5635","(interval",1
"5636","(intimatepartner",1
"5637","(intra-",1
"5638","(ior)",1
"5639","(irae)",1
"5640","(iraes)",1
"5641","(irif)",1
"5642","(irt)analyses",1
"5643","(ivc)",1
"5644","(jbb)",1
"5645","(jhs)",1
"5646","(k=4",1
"5647","(k562",1
"5648","(k63)",1
"5649","(karnofskyself-reported",1
"5650","(kdm5cand",1
"5651","(kiss1r)",1
"5652","(ko)",1
"5653","(ks)",1
"5654","(la-nsclc)",1
"5655","(lap",1
"5656","(lap)resection",1
"5657","(larchmt)",1
"5658","(lateral",1
"5659","(lcs)with",1
"5660","(ldl)",1
"5661","(ldr)",1
"5662","(li)",1
"5663","(liraglutide",1
"5664","(lkb)",1
"5665","(lmi)",1
"5666","(lmp400)",1
"5667","(lmr)",1
"5668","(lnm)",1
"5669","(low",1
"5670","(low-riskpatients)",1
"5671","(lpa)",1
"5672","(lrf)",1
"5673","(lrp1)",1
"5674","(lsil)",1
"5675","(luminal",1
"5676","(lumpectomies)",1
"5677","(lung",1
"5678","(lymphocytes/macrophages)",1
"5679","(m",1
"5680","(mab)",1
"5681","(maxmif)",1
"5682","(mcc)",1
"5683","(mcd)",1
"5684","(mcf-7/dox)",1
"5685","(mcl)",1
"5686","(mcr)",1
"5687","(mcrc)",1
"5688","(mcrpc)",1
"5689","(mda-mb-231",1
"5690","(mdr)",1
"5691","(mdr)phenotypes",1
"5692","(mds",1
"5693","(mds)",1
"5694","(mdsc)",1
"5695","(mdscs)",1
"5696","(mean=7",1
"5697","(measured",1
"5698","(med)",1
"5699","(mediandifference",1
"5700","(medicare",1
"5701","(melanoma)",1
"5702","(mental",1
"5703","(mg/l)",1
"5704","(mgmt)",1
